Waktu,Suhu (°C),Kelembapan (%),Tekanan (hPa)
2025-05-17 18:53:08,27.27,95.04,1008.26
2025-05-17 18:53:07,27.26,95.04,1008.27
2025-05-17 18:53:07,27.26,95.04,1008.27
2025-05-17 18:53:06,27.25,95.08,1008.28
2025-05-17 18:53:06,27.25,95.08,1008.28
2025-05-17 18:53:05,27.24,95.04,1008.24
2025-05-17 18:53:05,27.24,95.04,1008.24
2025-05-17 18:53:04,27.23,95.02,1008.25
2025-05-17 18:53:04,27.23,95.02,1008.25
2025-05-17 18:53:03,27.22,94.99,1008.25
2025-05-17 18:53:03,27.22,94.99,1008.25
2025-05-17 18:53:02,27.22,94.98,1008.25
2025-05-17 18:53:02,27.22,94.98,1008.25
2025-05-17 18:53:01,27.22,94.98,1008.25
2025-05-17 18:53:01,27.22,94.98,1008.25
2025-05-17 18:53:00,27.21,94.98,1008.24
2025-05-17 18:53:00,27.21,94.98,1008.24
2025-05-17 18:52:59,27.21,94.98,1008.23
2025-05-17 18:52:59,27.21,94.98,1008.23
2025-05-17 18:52:58,27.19,95.0,1008.24
2025-05-17 18:52:58,27.2,94.98,1008.25
2025-05-17 18:52:58,27.2,94.98,1008.25
2025-05-17 18:52:57,27.19,95.0,1008.24
2025-05-17 18:52:56,27.19,94.98,1008.24
2025-05-17 18:52:56,27.19,94.98,1008.24
2025-05-17 18:52:55,27.18,95.0,1008.24
2025-05-17 18:52:55,27.18,95.0,1008.24
2025-05-17 18:52:54,27.17,94.99,1008.21
2025-05-17 18:52:54,27.17,94.99,1008.21
2025-05-17 18:52:53,27.17,95.0,1008.24
2025-05-17 18:52:53,27.17,95.0,1008.24
2025-05-17 18:52:52,27.16,95.01,1008.23
2025-05-17 18:52:52,27.16,95.01,1008.23
2025-05-17 18:52:51,27.15,95.05,1008.21
2025-05-17 18:52:51,27.15,95.05,1008.21
2025-05-17 18:52:50,27.13,95.05,1008.21
2025-05-17 18:52:50,27.13,95.05,1008.21
2025-05-17 18:52:49,27.11,95.12,1008.22
2025-05-17 18:52:49,27.11,95.12,1008.22
2025-05-17 18:52:48,27.09,95.14,1008.24
2025-05-17 18:52:48,27.09,95.14,1008.24
2025-05-17 18:52:47,27.08,95.19,1008.2
2025-05-17 18:52:47,27.08,95.19,1008.2
2025-05-17 18:52:46,27.06,95.22,1008.21
2025-05-17 18:52:46,27.06,95.22,1008.21
2025-05-17 18:52:45,27.04,95.14,1008.21
2025-05-17 18:52:45,27.04,95.14,1008.21
2025-05-17 18:52:44,27.02,95.16,1008.21
2025-05-17 18:52:44,27.02,95.16,1008.21
2025-05-17 18:52:43,26.99,95.18,1008.25
2025-05-17 18:52:43,26.99,95.18,1008.25
2025-05-17 18:52:42,26.97,95.22,1008.23
2025-05-17 18:52:42,26.97,95.22,1008.23
2025-05-17 18:52:41,26.94,95.24,1008.19
2025-05-17 18:52:41,26.94,95.24,1008.19
2025-05-17 18:52:40,26.92,95.29,1008.19
2025-05-17 18:52:40,26.92,95.29,1008.19
2025-05-17 18:52:39,26.9,95.04,1008.25
2025-05-17 18:52:39,26.9,95.04,1008.25
2025-05-17 18:52:38,26.86,95.1,1008.21
2025-05-17 18:52:38,26.86,95.1,1008.21
2025-05-17 18:52:37,26.81,95.15,1008.21
2025-05-17 18:52:37,26.81,95.15,1008.21
2025-05-17 18:52:36,26.77,95.14,1008.2
2025-05-17 18:52:36,26.77,95.14,1008.2
2025-05-17 18:52:35,26.73,95.22,1008.23
2025-05-17 18:52:35,26.73,95.22,1008.23
2025-05-17 18:52:34,26.73,95.28,1008.22
2025-05-17 18:52:34,26.73,95.28,1008.22
2025-05-17 18:52:33,26.79,95.44,1008.21
2025-05-17 18:52:33,26.79,95.44,1008.21
2025-05-17 18:52:32,26.88,95.37,1008.19
2025-05-17 18:52:32,26.88,95.37,1008.19
2025-05-17 18:52:31,26.97,95.3,1008.19
2025-05-17 18:52:31,26.97,95.3,1008.19
2025-05-17 18:52:30,27.1,95.24,1008.21
2025-05-17 18:52:30,27.1,95.24,1008.21
2025-05-17 18:52:29,27.24,95.33,1008.24
2025-05-17 18:52:29,27.24,95.33,1008.24
2025-05-17 18:52:28,27.42,95.49,1008.23
2025-05-17 18:52:28,27.42,95.49,1008.23
2025-05-17 18:52:27,27.77,95.91,1008.21
2025-05-17 18:52:27,27.77,95.91,1008.21
2025-05-17 18:52:26,28.55,96.83,1008.25
2025-05-17 18:52:26,28.55,96.83,1008.25
2025-05-17 18:52:25,28.2,97.93,1010.12
2025-05-17 18:52:25,28.2,97.93,1010.12
2025-05-17 18:52:24,27.25,93.64,1008.23
2025-05-17 18:52:24,27.25,93.64,1008.23
2025-05-17 18:52:23,27.36,93.41,1008.21
2025-05-17 18:52:23,27.36,93.41,1008.21
2025-05-17 18:52:22,27.51,92.98,1008.22
2025-05-17 18:52:22,27.51,92.98,1008.22
2025-05-17 18:52:21,27.62,92.88,1008.19
2025-05-17 18:52:21,27.62,92.88,1008.19
2025-05-17 18:52:20,27.73,92.46,1008.22
2025-05-17 18:52:20,27.73,92.46,1008.22
2025-05-17 18:52:19,27.84,92.12,1008.22
2025-05-17 18:52:19,27.84,92.12,1008.22
2025-05-17 18:52:18,27.93,92.02,1008.24
2025-05-17 18:52:18,27.93,92.02,1008.24
2025-05-17 18:52:17,28.02,91.79,1008.2
2025-05-17 18:52:17,28.02,91.79,1008.2
2025-05-17 18:52:16,28.14,91.34,1008.22
2025-05-17 18:52:16,28.14,91.34,1008.22
2025-05-17 18:52:14,28.45,90.42,1008.26
2025-05-17 18:52:14,28.45,90.42,1008.26
2025-05-17 18:52:14,28.29,91.11,1008.24
2025-05-17 18:52:14,28.29,91.11,1008.24
2025-05-17 18:52:12,28.62,90.07,1008.23
2025-05-17 18:52:12,28.62,90.07,1008.23
2025-05-17 18:52:11,28.96,89.35,1008.23
2025-05-17 18:52:11,28.96,89.35,1008.23
2025-05-17 18:52:11,28.78,89.66,1008.26
2025-05-17 18:52:11,28.78,89.66,1008.26
2025-05-17 18:52:09,29.16,89.11,1008.25
2025-05-17 18:52:09,29.16,89.11,1008.25
2025-05-17 18:52:08,29.34,88.73,1008.26
2025-05-17 18:52:08,29.34,88.73,1008.26
2025-05-17 18:52:07,29.51,88.27,1008.24
2025-05-17 18:52:07,29.51,88.27,1008.24
2025-05-17 18:52:06,29.54,87.61,1008.24
2025-05-17 18:52:06,29.54,87.61,1008.24
2025-05-17 18:52:05,29.54,87.7,1008.2
2025-05-17 18:52:05,29.55,87.6,1008.24
2025-05-17 18:52:05,29.55,87.6,1008.24
2025-05-17 18:52:04,29.54,87.7,1008.2
2025-05-17 18:52:03,29.55,87.86,1008.2
